Date,Open,High,Low,Close,Volume,O/C,H/C,L/C,reportedEPS,estimatedEPS,surprise,surprisePercentage,rEPS/C,estEPS/C,surEPS/C,sP/C
10/2/2014,24.8175,25.0550,24.5100,22.2596,191031200,1.11491,1.1256,1.1011,0.32,0.3075,0.0125,4.065,0.0144,0.0138,0.0006,0.1826
10/1/2014,25.1475,25.1725,24.6750,22.0992,205965200,1.13794,1.1391,1.1166,0.32,0.3075,0.0125,4.065,0.0145,0.0139,0.0006,0.1839
9/30/2014,25.2025,25.3850,25.1325,22.4490,221056400,1.12265,1.1308,1.1195,0.32,0.3075,0.0125,4.065,0.0143,0.0137,0.0006,0.1811
9/29/2014,24.6625,25.1100,24.6575,22.3064,199065200,1.10562,1.1257,1.1054,0.32,0.3075,0.0125,4.065,0.0143,0.0138,0.0006,0.1822
9/26/2014,24.6325,25.1875,24.6000,22.4490,249482000,1.09726,1.1220,1.0958,0.32,0.3075,0.0125,4.065,0.0143,0.0137,0.0006,0.1811
9/25/2014,25.1275,25.1775,24.4300,21.8073,400368000,1.15225,1.1545,1.1203,0.32,0.3075,0.0125,4.065,0.0147,0.0141,0.0006,0.1864
9/24/2014,25.5400,25.7125,25.3000,22.6718,240687200,1.12651,1.1341,1.1159,0.32,0.3075,0.0125,4.065,0.0141,0.0136,0.0006,0.1793
9/23/2014,25.1500,25.7350,25.1350,22.8702,253608800,1.09969,1.1253,1.0990,0.32,0.3075,0.0125,4.065,0.0140,0.0134,0.0005,0.1777
9/22/2014,25.4500,25.5350,25.1450,22.5181,211153600,1.13020,1.1340,1.1167,0.32,0.3075,0.0125,4.065,0.0142,0.0137,0.0006,0.1805
9/19/2014,25.5725,25.5875,25.1250,22.4958,283609600,1.13677,1.1374,1.1169,0.32,0.3075,0.0125,4.065,0.0142,0.0137,0.0006,0.1807
9/18/2014,25.4825,25.5875,25.3900,22.6808,149197600,1.12353,1.1282,1.1195,0.32,0.3075,0.0125,4.065,0.0141,0.0136,0.0006,0.1792
9/17/2014,25.3175,25.4500,25.1475,22.6340,243706000,1.11856,1.1244,1.1111,0.32,0.3075,0.0125,4.065,0.0141,0.0136,0.0006,0.1796
9/16/2014,24.9500,25.3150,24.7225,22.4735,267632400,1.11019,1.1264,1.1001,0.32,0.3075,0.0125,4.065,0.0142,0.0137,0.0006,0.1809
9/15/2014,25.7025,25.7625,25.3600,22.6451,245266000,1.13501,1.1377,1.1199,0.32,0.3075,0.0125,4.065,0.0141,0.0136,0.0006,0.1795
9/12/2014,25.3025,25.5475,25.2700,22.6518,250504400,1.11702,1.1278,1.1156,0.32,0.3075,0.0125,4.065,0.0141,0.0136,0.0006,0.1795
9/11/2014,25.1025,25.3600,24.9050,22.6005,249412400,1.11070,1.1221,1.1020,0.32,0.3075,0.0125,4.065,0.0142,0.0136,0.0006,0.1799
